zip,totkbtu,avgktbu,gascust,eleccust,gaskbtu,eleckbtu,totcust
92304,0,0,0,,0,,0
92365,0,0,0,,0,,0
93101,0,0,,0,,0,0
93105,0,0,,0,,0,0
93110,0,0,,0,,0,0
93111,0,0,,0,,0,0
93117,0,0,,0,,0,0
93201,9024671.76,27258.00683,0,3973,0,9024671.76,3973
93203,127447487.5,24886.82163,0,61453,0,127447487.5,61453
93204,135390092.2,54064.12785,29335,30051,78557500,56832592.16,716
93206,18304741.96,32460.01234,,6767,,18304741.96,6767
93210,122052518.4,26172.80594,0,55960,0,122052518.4,55960
93212,123681164.9,26633.89823,,55725,,123681164.9,55725
93219,4157388.932,30126.00675,,1656,,4157388.932,1656
93224,6227787.12,27185.68405,0,2749,0,6227787.12,2749
93230,39478958.85,40460.11668,,11709,,39478958.85,11709
93234,82682761.8,51239.05916,18265,19364,45790000,36892761.8,1099
93239,21072358.18,51817.27422,4236,4880,10808100,10264258.18,644
93240,0,0,,0,,0,0
93241,89388514.3,24201.5742,,44322,,89388514.3,44322
93242,34187936.33,32702.6892,,12545,,34187936.33,12545
93243,10982746.91,23280.86255,,5661,,10982746.91,5661
93245,330805652.5,29334.32721,,135325,,330805652.5,135325
93249,14256799.75,22195.32914,,7708,,14256799.75,7708
93250,66270310.4,24925.36357,,31905,,66270310.4,31905
93251,0,0,,0,,0,0
93252,28181817.3,48415.43416,4937,6985,13728500,14453317.3,2048
93254,8171398.8,25168.57947,,3896,,8171398.8,3896
93256,0,0,,0,,0,0
93263,161370229.5,26098.66644,0,74197,0,161370229.5,74197
93266,11877670.15,29479.22271,,4835,,11877670.15,4835
93268,323694460.8,55288.28185,61243,70256,181568000,142126460.8,9013
93274,0,0,,0,,0,0
93276,0,0,,0,,0,0
93277,0,0,,0,,0,0
93280,162894963.6,24968.25305,,78289,,162894963.6,78289
93286,13205446.54,35371.7318,,4480,,13205446.54,4480
93287,0,0,,0,,0,0
93291,0,0,,0,,0,0
93292,6041004.004,33345.0083,,2174,,6041004.004,2174
93301,330096566.6,53443.95153,64489,74118,181515100,148581466.6,9629
93304,1036114691,62254.03711,192659,199720,609296000,426818691,7061
93305,691156411.9,59844.26798,136719,138591,409415200,281741211.9,1872
93306,1452481511,61431.94337,266767,283725,787920300,664561211,16958
93307,1351192922,57043.85004,258540,284243,746099200,605093722.3,25703
93308,799375992.4,38572.94131,76257,248685,222884800,576491192.4,172428
93309,1087928133,44711.21277,158852,291988,424258300,663669832.8,133136
93311,850573393.3,50590.97371,117291,201753,359566500,491006893.3,84462
93312,633143081.7,30143.92886,0,252048,0,633143081.7,252048
93313,993565276.8,61787.60453,185230,192964,548586400,444978876.8,7734
93314,357061295.3,36664.60337,15570,116863,47021300,310039995.3,101293
93401,197553960.6,15356.42123,,154375,,197553960.6,154375
93402,93178587.78,14596.78668,,76602,,93178587.78,76602
93405,127954534.5,14994.81845,,102399,,127954534.5,102399
93420,227307132.9,18485.76537,,147556,,227307132.9,147556
93422,290674360.2,21651.85583,,161099,,290674360.2,161099
93424,13704779.09,18260.86488,,9006,,13704779.09,9006
93426,21471269.03,20690.21347,,12453,,21471269.03,12453
