zip,totkbtu,avgktbu,totcust,gascust,eleccust,gaskbtu,eleckbtu
92304,0,0,0,0,,0,
92365,0,0,0,0,,0,
93101,0,0,0,,0,,0
93105,0,0,0,,0,,0
93110,0,0,0,,0,,0
93111,0,0,0,,0,,0
93117,0,0,0,,0,,0
93201,9024671.76,2271.500569,3973,,3973,,9024671.76
93203,127447487.5,2073.901802,61453,0,61453,0,127447487.5
93204,135390092.2,2279.831815,59386,29335,30051,78557500,56832592.16
93206,18304741.96,2705.001028,6767,,6767,,18304741.96
93210,122052518.4,2181.067162,55960,0,55960,0,122052518.4
93212,123681164.9,2219.491519,55725,,55725,,123681164.9
93219,4157388.932,2510.500563,1656,,1656,,4157388.932
93224,6227787.12,2265.47367,2749,0,2749,0,6227787.12
93230,39478958.85,3371.67639,11709,,11709,,39478958.85
93234,82682761.8,2197.314885,37629,18265,19364,45790000,36892761.8
93239,21072358.18,2311.579441,9116,4236,4880,10808100,10264258.18
93240,0,0,0,,0,,0
93241,89388514.3,2016.79785,44322,,44322,,89388514.3
93242,34187936.33,2725.2241,12545,,12545,,34187936.33
93243,10982746.91,1940.071879,5661,,5661,,10982746.91
93245,330805652.5,2444.527268,135325,,135325,,330805652.5
93249,14256799.75,1849.610761,7708,,7708,,14256799.75
93250,66270310.4,2077.113631,31905,,31905,,66270310.4
93251,0,0,0,,0,,0
93252,28181817.3,2363.849799,11922,4937,6985,13728500,14453317.3
93254,8171398.8,2097.381622,3896,,3896,,8171398.8
93256,0,0,0,,0,,0
93263,161370229.5,2174.88887,74197,0,74197,0,161370229.5
93266,11877670.15,2456.601893,4835,,4835,,11877670.15
93268,323694460.8,2461.573554,131499,61243,70256,181568000,142126460.8
93274,0,0,0,,0,,0
93276,0,0,0,,0,,0
93277,0,0,0,,0,,0
93280,162894963.6,2080.687754,78289,,78289,,162894963.6
93286,13205446.54,2947.644317,4480,,4480,,13205446.54
93287,0,0,0,,0,,0
93291,0,0,0,,0,,0
93292,6041004.004,2778.750692,2174,,2174,,6041004.004
93301,330096566.6,2381.528831,138607,64489,74118,181515100,148581466.6
93304,1036114691,2640.596696,392379,192659,199720,609296000,426818691
93305,691156411.9,2510.466063,275310,136719,138591,409415200,281741211.9
93306,1452481511,2638.515203,550492,266767,283725,787920300,664561211
93307,1351192922,2489.379591,542783,258540,284243,746099200,605093722.3
93308,799375992.4,2460.057464,324942,76257,248685,222884800,576491192.4
93309,1087928133,2413.113594,450840,158852,291988,424258300,663669832.8
93311,850573393.3,2666.006549,319044,117291,201753,359566500,491006893.3
93312,633143081.7,2511.994071,252048,0,252048,0,633143081.7
93313,993565276.8,2627.131252,378194,185230,192964,548586400,444978876.8
93314,357061295.3,2696.165573,132433,15570,116863,47021300,310039995.3
93401,197553960.6,1279.701769,154375,,154375,,197553960.6
93402,93178587.78,1216.39889,76602,,76602,,93178587.78
93405,127954534.5,1249.568204,102399,,102399,,127954534.5
93420,227307132.9,1540.480448,147556,,147556,,227307132.9
93422,290674360.2,1804.321319,161099,,161099,,290674360.2
93424,13704779.09,1521.73874,9006,,9006,,13704779.09
93426,21471269.03,1724.184456,12453,,12453,,21471269.03
